GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
0500000US23001,23001,"Androscoggin County, Maine",0.428,0.027
0500000US23003,23003,"Aroostook County, Maine",0.407,0.016
0500000US23005,23005,"Cumberland County, Maine",0.456,0.018
0500000US23011,23011,"Kennebec County, Maine",0.425,0.029
0500000US23019,23019,"Penobscot County, Maine",0.416,0.016
0500000US23031,23031,"York County, Maine",0.397,0.015
0500000US24001,24001,"Allegany County, Maryland",0.444,0.047
0500000US24003,24003,"Anne Arundel County, Maryland",0.402,0.013
0500000US24005,24005,"Baltimore County, Maryland",0.437,0.011
0500000US24009,24009,"Calvert County, Maryland",0.388,0.032
0500000US24013,24013,"Carroll County, Maryland",0.383,0.016
0500000US24015,24015,"Cecil County, Maryland",0.401,0.037
0500000US24017,24017,"Charles County, Maryland",0.352,0.022
0500000US24021,24021,"Frederick County, Maryland",0.389,0.021
0500000US24025,24025,"Harford County, Maryland",0.380,0.019
0500000US24027,24027,"Howard County, Maryland",0.381,0.013
0500000US24031,24031,"Montgomery County, Maryland",0.453,0.010
0500000US24033,24033,"Prince George's County, Maryland",0.366,0.008
0500000US24037,24037,"St. Mary's County, Maryland",0.368,0.028
0500000US24043,24043,"Washington County, Maryland",0.415,0.019
0500000US24045,24045,"Wicomico County, Maryland",0.436,0.038
0500000US24510,24510,"Baltimore city, Maryland",0.501,0.017
0500000US25001,25001,"Barnstable County, Massachusetts",0.457,0.023
0500000US25003,25003,"Berkshire County, Massachusetts",0.471,0.025
0500000US25005,25005,"Bristol County, Massachusetts",0.443,0.016
0500000US25009,25009,"Essex County, Massachusetts",0.474,0.011
0500000US25011,25011,"Franklin County, Massachusetts",0.421,0.028
0500000US25013,25013,"Hampden County, Massachusetts",0.451,0.014
0500000US25015,25015,"Hampshire County, Massachusetts",0.413,0.019
0500000US25017,25017,"Middlesex County, Massachusetts",0.472,0.009
0500000US25021,25021,"Norfolk County, Massachusetts",0.474,0.012
0500000US25023,25023,"Plymouth County, Massachusetts",0.421,0.014
0500000US25025,25025,"Suffolk County, Massachusetts",0.518,0.013
0500000US25027,25027,"Worcester County, Massachusetts",0.417,0.010
0500000US26005,26005,"Allegan County, Michigan",0.394,0.024
0500000US26017,26017,"Bay County, Michigan",0.417,0.019
0500000US26021,26021,"Berrien County, Michigan",0.489,0.040
0500000US26025,26025,"Calhoun County, Michigan",0.421,0.016
